run_id,row_id,original_path,current_path,recorded_utc,date_label,date_source,pipeline,accepted_geometry,derivative_optimizer,arm_or_policy,mlp_role_policy,scene_target,initialization,solver,oracle,acquisition,noise_materials,catalog_status,execution_outcome,recovery_outcome,representation_outcome,stop_reason,training_relative_l2,holdout_relative_l2,field_metric_scope,geometry_error_m,geometry_error_kind,takeaway,implication_for_strict_mlp_method_b,source_metadata,source_revision,recorded_command,rerun_disposition
radial-topology-challenge-large-split-20260909,radial-topology-challenge-large-split-20260909::kress,results/inverse/radial_fourier/topology_challenges/challenge-suite-20260909-091144/large-split,results/inverse/radial_fourier/topology_challenges/challenge-suite-20260909-091144/large-split,,2026-09-09,run directory timestamp in Europe/London,radial_fourier_topology_replacement,ordered MultiRadialFourierState; two K1 circles,empty-background TD + current-domain TD + cross-resolution replace-one-by-two + central-FD damped LM,background_td_replacement,none; explicit radial geometry owns every accepted state,two separated dielectric circles,one 115 mm enclosing circle,kress,multicylinder_ref cylindrical harmonics,24 paired ring entries; 0.50 GHz training/topology; 1.50 and 2.50 GHz holdout,"{""observation_noise"":""none"",""exterior"":{""epsr"":6.0,""mur"":1.0,""sigma"":0.0},""interior"":{""epsr"":3.0,""mur"":1.0,""sigma"":0.0}}",current_demonstration,completed; full-profile gates PASS,PASS,not_applicable,loss_tolerance,1.927952611364943e-07,1.1865582022421957e-06,paired-response relative L2; training and holdout separated,1.0786499582415843e-08,maximum matched-component symmetric Hausdorff distance,The objective-qualified replacement recovers two circles from one enclosing component at both Kress resolutions.,Demonstrates explicit component replacement on one clean separated scene; does not establish neural topology recovery.,results/inverse/radial_fourier/topology_challenges/challenge-suite-20260909-091144/large-split/metrics.json; results/inverse/radial_fourier/topology_challenges/README.md,d7c8e87 + dirty topology-challenge working tree,run_radial_fourier_topology_challenges.py --case all --profile full,preserve full-pass benchmark and MP4
radial-topology-challenge-far-circle-20260909,radial-topology-challenge-far-circle-20260909::kress,results/inverse/radial_fourier/topology_challenges/challenge-suite-20260909-092226/far-circle,results/inverse/radial_fourier/topology_challenges/challenge-suite-20260909-092226/far-circle,,2026-09-09,run directory timestamp in Europe/London,radial_fourier_topology_replacement,ordered MultiRadialFourierState; two K1 circles,empty-background TD + current-domain TD + cross-resolution replace-one-by-two + central-FD damped LM,background_td_replacement,none; explicit radial geometry owns every accepted state,two separated dielectric circles,one 35 mm circle at (0.50 m; 0.66 m) far from both targets,kress,multicylinder_ref cylindrical harmonics,24 paired ring entries; 0.50 GHz training/topology; 1.50 and 2.50 GHz holdout,"{""observation_noise"":""none"",""exterior"":{""epsr"":6.0,""mur"":1.0,""sigma"":0.0},""interior"":{""epsr"":3.0,""mur"":1.0,""sigma"":0.0}}",current_demonstration,completed; full-profile gates PASS,PASS,not_applicable,loss_tolerance,1.927952611364943e-07,1.1865582022421957e-06,paired-response relative L2; training and holdout separated,1.0786499582415843e-08,maximum matched-component symmetric Hausdorff distance,The replacement removes the distant ghost and recovers both target circles at both Kress resolutions.,Demonstrates explicit obsolete-component removal and replacement; additive birth alone had retained the ghost.,results/inverse/radial_fourier/topology_challenges/challenge-suite-20260909-092226/far-circle/metrics.json; results/inverse/radial_fourier/topology_challenges/README.md,d7c8e87 + dirty topology-challenge working tree,run_radial_fourier_topology_challenges.py --case far-circle --profile full,preserve full-pass benchmark and MP4
radial-topology-challenge-ellipse-star-20260909,radial-topology-challenge-ellipse-star-20260909::kress,results/inverse/radial_fourier/topology_challenges/challenge-suite-20260909-093211/ellipse-star,results/inverse/radial_fourier/topology_challenges/challenge-suite-20260909-093211/ellipse-star,,2026-09-09,run directory timestamp in Europe/London,radial_fourier_topology_replacement,ordered MultiRadialFourierState; two K5 radial components,low-frequency background/current-domain TD replacement + K1/K2/K5 continuation + two-frequency central-FD damped LM,background_td_replacement_low_frequency_continuation,none; explicit radial geometry owns every accepted state,diagonal rotated ellipse and five-lobe star,one 50 mm circle at the scene centre,kress,analytic ellipse/star direct Kress truth at 256 nodes per component,24 paired ring entries; 0.50 GHz topology; 0.50 and 1.50 GHz training; 2.50 GHz holdout,"{""observation_noise"":""none"",""exterior"":{""epsr"":6.0,""mur"":1.0,""sigma"":0.0},""interior"":{""epsr"":3.0,""mur"":1.0,""sigma"":0.0}}",current_demonstration,completed; full-profile gates PASS,PASS,not_applicable,no_decreasing_step,0.005677814491224038,0.05245033381903728,paired-response relative L2; training and holdout separated,0.0005516188010170871,maximum matched-component symmetric Hausdorff distance,Low-frequency topology localizes both unequal shapes; K5 continuation recovers the diagonal ellipse/star pair within 0.552 mm.,Extends explicit topology evidence to unequal smooth star-shaped components; it remains clean separated and non-neural.,results/inverse/radial_fourier/topology_challenges/challenge-suite-20260909-093211/ellipse-star/metrics.json; results/inverse/radial_fourier/topology_challenges/README.md,d7c8e87 + dirty topology-challenge working tree,run_radial_fourier_topology_challenges.py --case ellipse-star --profile full,preserve full-pass benchmark and MP4
radial-topology-birth-iteration-01-20260908-234231,radial-topology-birth-iteration-01-20260908-234231::kress,results/inverse/radial_fourier/topology_birth/iteration-01-20260908-234231,results/inverse/radial_fourier/topology_birth/iteration-01-20260908-234231,,2026-09-08,run directory timestamp in Europe/London,radial_fourier_topology_birth,"ordered MultiRadialFourierState; two K=1 circles",current-domain topological derivative + finite birth ladder + central-FD damped LM,kress_td_birth_then_multiradial_fd,none; explicit radial geometry owns every accepted state,two separated dielectric circles,"exact A with B absent; robustness arm starts A 10 mm left",kress,"gpr_bem_ref one-cylinder Mie and multicylinder_ref cylindrical harmonics","24 paired ring entries; 0.50 GHz training/topology; 1.50 and 2.50 GHz holdout","{""observation_noise"":""none"",""exterior"":{""epsr"":6.0,""mur"":1.0,""sigma"":0.0},""interior"":{""epsr"":3.0,""mur"":1.0,""sigma"":0.0}}",current_demonstration,completed; G0-G5 PASS,PASS,not_applicable,loss_tolerance,4.5382386479107805e-10,3.5775721923456056e-09,"paired-response relative L2; training and holdout separated",1.7719048450715036e-11,maximum component-keyed centre/radius error,"One TD birth and both core/wrong-A refinements pass every frozen gate; two MP4 trajectories retained.",Demonstrates explicit one-component birth on one bounded scene; does not establish implicit-MLP or general topology recovery.,results/inverse/radial_fourier/topology_birth/iteration-01-20260908-234231/metrics.json; docs/iterations/radial_fourier_topology/iteration_02/01_results.md,80b3b21 + implementation working tree,run_radial_fourier_topology_inverse.py --output results/inverse/radial_fourier/topology_birth/iteration-01-20260908-234231 --overwrite,preserve full-pass benchmark; extend only through a reviewed iteration-02 plan
ibim_geometry_demo,ibim_geometry_demo::grouped,results/ibim_geometry_demo,results/demos/ibim_geometry_demo,,,unknown; no recorded UTC run timestamp in inspected artifact,ibim_geometry_demo,implicit-band geometry,not_applicable (no inverse),grouped,none,geometry visualization only,not_applicable; forward/frozen-input study,none,,,,supporting,image_only,not_evaluated,not_evaluated,,,,,,,Only a PNG is saved; numerical provenance and run timestamp unavailable.,Illustrative geometry only; not evidence of neural inverse accuracy.,results/demos/ibim_geometry_demo/ibim_geometry_demo.png,,,preserve; no rerun needed for organization
multicomponent_split_demo,multicomponent_split_demo::grouped,results/multicomponent_split_demo,results/demos/multicomponent_split_demo,,,unknown; no recorded UTC run timestamp in inspected artifact,prescribed_topology_forward_demo,unknown-count extraction and Method-B components; pinch visual only,not_applicable (no inverse),grouped,none,prescribed one-to-two circle transition; grouped 60 frames,not_applicable; forward/frozen-input study,multi-KRESS (endpoint),,,,supporting,completed,not_applicable,not_applicable,,,,,,,One/two components detected; endpoint residual 5.631e-16; no inverse optimized.,Topology extraction is a separate capability; do not count this as strict multicomponent inverse recovery.,results/demos/multicomponent_split_demo/metrics.json,,,preserve; no rerun needed for organization
rectangular_loop_forward,rectangular_loop_forward::grouped,results/rectangular_loop_forward,results/demos/rectangular_loop_forward,,,unknown; no recorded UTC run timestamp in inspected artifact,ibim_rectangular_scan_forward_demo,implicit-band compressed boundary; 272 samples,not_applicable (no inverse),grouped,none,single circular penetrable cylinder; rectangular acquisition,not_applicable; forward/frozen-input study,IBIM direct solve (numpy),,,,supporting,completed,not_applicable,not_applicable,,,,,,,Broadband scattered error 0.696; small total-field error is dominated by incident field.,Use scattered/late-time physical errors rather than dense-solve residual or total-field masking.,results/demos/rectangular_loop_forward/rectangular_loop_forward_metadata.json,,,preserve; no rerun needed for organization
rectangular_loop_forward_gpu_test,rectangular_loop_forward_gpu_test::grouped,results/rectangular_loop_forward_gpu_test,results/demos/rectangular_loop_forward_gpu_test,,,unknown; no recorded UTC run timestamp in inspected artifact,unverified_empty_forward_demo,unknown,not_applicable (no inverse),grouped,none,unknown (empty folder),not_applicable; forward/frozen-input study,unknown,,,,empty,no_saved_run,not_evaluated,not_evaluated,,,,,,,Empty before cleanup; navigation marker contains no saved execution.,Do not infer GPU validation from folder name.,,,,preserve; no rerun needed for organization
inverse_solver_comparison/random-feature-implicit-mie-20260902,inverse_solver_comparison/random-feature-implicit-mie-20260902::kress,results/inverse_solver_comparison/random-feature-implicit-mie-20260902,results/legacy/known_shape_family_parameter_inverse/random-feature-implicit-mie-20260902,2026-09-02T21:03:39.649818+00:00,2026-09-02,metrics.json:provenance.created_utc (recorded artifact timestamp; not necessarily start/end),known_shape_family_parameter_fd_method_b,implicit-model parameters; Method-B Cartesian Fourier boundary rebuilt at each evaluation,bounded central parameter finite differences; damped Gauss-Newton,kress,no full MLP inverse; analytic shape controls or four output weights on frozen random features,"circle; {""center_x_m"":0.5,""center_y_m"":0.5,""radius_m"":0.05}",topology-constrained random-feature implicit; fixed hidden features,KRESS,gpr_bem_ref analytic penetrable-cylinder Mie series,"12 paired ring Tx/Rx; train GHz=[0.25, 0.5]; holdout GHz=[1.0, 1.5, 2.5]",noise=none; exterior epsr=6.0; interior epsr=3.0; lossless nonmagnetic TMz,legacy_known_shape_family_control,completed,passed_recorded_inverse_gates,not_applicable,loss_tolerance,3.695954184045021e-10,3.645213116359831e-09,saved aggregate relative L2 across held-out frequencies/pairs; not maximum per-frequency,5.002653152841319e-11,saved maximum sampled boundary-to-analytic-target distance,In-family synthetic Method-B solver-neutral control.,"Known shape-family recovery control only; does not establish full-MLP shape discovery. Family supplied, numeric shape parameters inferred from measurements.",results/legacy/known_shape_family_parameter_inverse/random-feature-implicit-mie-20260902/metrics.json,ee49cb0a03cbe8653fde5a09b295d2971eb93412; inspect recorded dirty state/source hashes for exact measured code,run_sdf_inverse_comparison.py --initial-model random_features --max-iterations 16 --loss-tolerance 1e-14 --output-dir results/inverse_solver_comparison/random-feature-implicit-mie-20260902 --overwrite,preserve Method-B control; rerun only if its extraction/forward path changes
inverse_solver_comparison/random-feature-implicit-mie-20260902,inverse_solver_comparison/random-feature-implicit-mie-20260902::mod,results/inverse_solver_comparison/random-feature-implicit-mie-20260902,results/legacy/known_shape_family_parameter_inverse/random-feature-implicit-mie-20260902,2026-09-02T21:03:39.649818+00:00,2026-09-02,metrics.json:provenance.created_utc (recorded artifact timestamp; not necessarily start/end),known_shape_family_parameter_fd_method_b,implicit-model parameters; Method-B Cartesian Fourier boundary rebuilt at each evaluation,bounded central parameter finite differences; damped Gauss-Newton,mod,no full MLP inverse; analytic shape controls or four output weights on frozen random features,"circle; {""center_x_m"":0.5,""center_y_m"":0.5,""radius_m"":0.05}",topology-constrained random-feature implicit; fixed hidden features,MOD,gpr_bem_ref analytic penetrable-cylinder Mie series,"12 paired ring Tx/Rx; train GHz=[0.25, 0.5]; holdout GHz=[1.0, 1.5, 2.5]",noise=none; exterior epsr=6.0; interior epsr=3.0; lossless nonmagnetic TMz,legacy_known_shape_family_control,completed,passed_recorded_inverse_gates,not_applicable,gradient_tolerance,0.0027130839704663525,0.07043829614301819,saved aggregate relative L2 across held-out frequencies/pairs; not maximum per-frequency,5.6837071372543846e-05,saved maximum sampled boundary-to-analytic-target distance,In-family synthetic Method-B solver-neutral control.,"Known shape-family recovery control only; does not establish full-MLP shape discovery. Family supplied, numeric shape parameters inferred from measurements.",results/legacy/known_shape_family_parameter_inverse/random-feature-implicit-mie-20260902/metrics.json,ee49cb0a03cbe8653fde5a09b295d2971eb93412; inspect recorded dirty state/source hashes for exact measured code,run_sdf_inverse_comparison.py --initial-model random_features --max-iterations 16 --loss-tolerance 1e-14 --output-dir results/inverse_solver_comparison/random-feature-implicit-mie-20260902 --overwrite,preserve Method-B control; rerun only if its extraction/forward path changes
